Protein,Hydropathy,Net Charge,Aromaticity,Neutral Charge,IsoelectricPoint,LengthAminoAcids,Instability,Gravy,Molecular Weight,Helix,Turn,Sheets
A0A075B6H7,-0.10689655172413796,0.12931034482758622,0.10344827586206896,-1.5107754073974702,5.135084724426269,116,51.98189655172414,-0.10689655172413796,12783.343499999986,0.31034482758620685,0.28448275862068967,0.2586206896551724
A0A075B6I0,0.05819672131147558,0.09016393442622951,0.09836065573770493,-3.5172435727020446,4.329562568664552,122,42.61639344262293,0.05819672131147558,12814.241199999986,0.29508196721311475,0.3442622950819672,0.20491803278688525
A0A075B6J9,-0.21355932203389827,0.1016949152542373,0.09322033898305085,-2.514554870669677,4.659967613220215,118,40.98644067796607,-0.21355932203389827,12411.563999999991,0.2627118644067796,0.3728813559322034,0.2033898305084746
A0A075B6K4,-0.3060869565217391,0.1565217391304348,0.10434782608695652,-4.431725529650628,4.716636085510253,115,48.63913043478259,-0.3060869565217391,12440.709599999995,0.26956521739130435,0.30434782608695654,0.22608695652173916
A0A075B6K5,-0.21391304347826082,0.12173913043478261,0.08695652173913043,-0.25205330470691756,6.80814037322998,115,21.847826086956516,-0.21391304347826082,12331.565099999989,0.2782608695652174,0.30434782608695654,0.22608695652173913
A0A075B6P5,-0.06250000000000012,0.125,0.08333333333333333,-1.4262799212752482,5.6080419540405275,120,53.81250000000001,-0.06250000000000012,12956.60389999999,0.31666666666666665,0.35,0.24166666666666667
A0A075B6Q5,0.05000000000000012,0.16101694915254236,0.1271186440677966,0.5670019497686827,7.688633155822754,118,37.58474576271185,0.05000000000000012,12890.551899999988,0.3220338983050848,0.2796610169491525,0.2627118644067796
A0A075B6R2,-0.056410256410256425,0.13675213675213677,0.1111111111111111,5.654544981062804,9.642552375793457,117,26.094871794871782,-0.056410256410256425,12847.550899999987,0.3418803418803419,0.3247863247863248,0.20512820512820512
A0A075B6R9,-0.047500000000000056,0.13333333333333333,0.09166666666666667,1.582788609048551,8.976078224182132,120,41.739166666666634,-0.047500000000000056,13078.776599999987,0.32499999999999996,0.31666666666666665,0.20833333333333334
A0A075B6S2,-0.015000000000000024,0.13333333333333333,0.09166666666666667,-0.4282679233732498,6.5288904190063475,120,38.20249999999998,-0.015000000000000024,13142.979499999992,0.3333333333333333,0.31666666666666665,0.225
A0A075B6S5,-0.09999999999999998,0.13675213675213677,0.08547008547008547,1.470146735366578,8.501010704040528,117,49.61367521367521,-0.09999999999999998,12711.370199999987,0.29914529914529914,0.2905982905982906,0.22222222222222224
A0A075B6S6,-0.2066666666666667,0.14166666666666666,0.1,0.5730093788903865,7.786056327819824,120,55.83666666666666,-0.2066666666666667,13214.844899999991,0.31666666666666665,0.3416666666666667,0.18333333333333335
A0A075B6S9,-0.11794871794871795,0.13675213675213677,0.08547008547008547,3.4799059657247433,9.34026012420654,117,46.492307692307676,-0.11794871794871795,12688.298599999987,0.3162393162393162,0.3247863247863248,0.1965811965811966
A0A087WSY4,-0.024576271186440696,0.1271186440677966,0.1271186440677966,6.649726517191592,9.695932197570801,118,36.41525423728811,-0.024576271186440696,13024.750599999987,0.3559322033898305,0.3135593220338983,0.2033898305084746
A0A087WSY6,0.010434782608695615,0.11304347826086956,0.10434782608695653,-1.5091974664049443,5.144576835632324,115,49.580000000000005,0.010434782608695615,12534.082399999992,0.31304347826086953,0.28695652173913044,0.2782608695652174
A0A087WSZ0,0.0726495726495727,0.1111111111111111,0.11965811965811966,0.4618136863600899,7.617925453186037,117,67.14188034188035,0.0726495726495727,12836.58119999999,0.3162393162393162,0.28205128205128205,0.2564102564102564
A0A087WW87,-0.12148760330578522,0.17355371900826447,0.09090909090909091,-5.504480902663882,4.433577919006347,121,53.524793388429764,-0.12148760330578522,13309.967799999991,0.3223140495867769,0.30578512396694213,0.2396694214876033
A0A0A0MRZ7,-0.030833333333333428,0.15833333333333333,0.10833333333333334,-3.4195482362889855,4.9024995803833,120,43.78833333333331,-0.030833333333333428,13296.996899999987,0.32499999999999996,0.2833333333333333,0.2583333333333333
A0A0A0MRZ8,-0.13217391304347825,0.1391304347826087,0.10434782608695653,-2.419791756170671,5.1528753280639625,115,52.426956521739115,-0.13217391304347825,12625.087299999988,0.30434782608695654,0.2782608695652174,0.28695652173913044
